"Currency","Volatility"
"AFA",0.91
"DZD",0.9282842712474619
"ARS",0.9519615242270664
"AMD",0.98
"AWG",1.0118033988749895
"AUD",1.0469693845669907
"AZM",1.0852025917745214
"BSD",1.1262741699796952
"BHD",1.17
"THB",0.91
"PAB",1.082208671582886
"BBD",1.17
"BEF",1.0410673597966589
"VEB",1.1731300056749532
"BOB",1.0944222209522358
"BRL",1.01
"BND",1.2028200785945344
"BGN",1.1893095228297887
"CAD",1.194108823397055
"GHC",0.9282842712474619
"XOF",1.0643167672515499
"CLP",1.1565151067676132
"COP",1.0337908816025965
"CRC",1.1893095228297887
"HRK",1.1529822128134704
"CYP",1.1435159132377184
"CZK",1.1649528259898354
"DKK",1.2119294792096444
"DEM",1.1032240143290157
"DOP",0.9519615242270664
"VND",1.186356421265527
"GRD",1.182842712474619
"EGP",1.211769145362398
"SVC",1.0852025917745214
"AED",1.2028200785945344
"EUR",1.1649528259898354
"FJD",1.1651414716712571
"HUF",1.2043024810940588
"FRF",1.0944222209522358
"PYG",0.98
"HKD",1.2144837038703278
"ISK",1.0272792206135786
"INR",1.142074368738204
"IEP",1.0640121946685672
"ITL",1.0469693845669907
"JMD",1.1080865204668482
"JOD",1.2043024810940588
"KES",1.1649528259898354
"EEK",1.176767050061961
"KWD",1.0118033988749895
"AOA",1.1798213715926644
"LVL",1.1734958866235468
"LBP",0.9509901951359279
"ALL",1.1491987158875423
"ROL",1.13259406699226
"LTL",1.1812472222085046
"MYR",1.0944222209522358
"MTL",1.0752141546793523
"FIM",1.1416609194718914
"MUR",1.0469693845669907
"MXN",1.0442220510185596
"MAD",1.1379075450674063
"NGN",1.0723368793961408
"NAD",1.101494416796099
"NPR",1.199833287011299
"ANG",1.1798213715926644
"NLG",0.98
"ILS",1.1731300056749532
"TWD",1.1893095228297887
"NZD",1.0852025917745214
"BTN",1.0640121946685672
"NOK",1.1491987158875423
"PEN",1.101494416796099
"OMR",1.150798724079689
"PKR",1.0723368793961408
"PHP",1.1037154878746336
"PLZ",1.2144837038703278
"PTE",0.9519615242270664
"GTQ",1.130651251893416
"ZAR",1.1262741699796952
"MVR",1.211769145362398
"IDR",1.2031501278244823
"RUB",1.089472953214964
"RUR",1.0723368793961408
"SAR",1.1718455443813638
"ATS",1.163058928759318
"SGD",1.0272792206135786
"SKK",1.0240967364599085
"ESP",1.1596150997149435
"LKR",1.17
"SEK",1.0802775637731994
"CHF",1.116101827849743
"BDT",1.0272792206135786
"SIT",1.1037154878746336
"TTD",1.0526433752247375
"TND",1.1491987158875423
"TRL",1.142074368738204
"GBP",1.0157583690279022
"UYU",1.0643167672515499
"USD",1
"KRW",1.082208671582886
"JPY",1.0643167672515499
"CNY",1.186356421265527
"ZWD",1.2144837038703278
"PLN",1.1798213715926644
